0,1,2,3,4
Harga Emas Hari Ini,Harga Emas Hari Ini,Harga Emas Hari Ini,Harga Emas Hari Ini,Harga Emas Hari Ini
Gram,Gedung Antam Jakarta,Gedung Antam Jakarta,Pegadaian,Pegadaian
Gram,per Gram (Rp),per Batangan (Rp),per Gram (Rp),per Batangan (Rp)
1000,1.454 (-30),1.453.600 (-30.000),1.043.040 (+8.200),1.043.040.000 (+8.200.000)
500,2.907 (-60),1.453.640 (-30.000),1.043.082 (+8.200),521.541.000 (+4.100.000)
250,5.816 (-120),1.454.060 (-30.000),1.043.512 (+8.200),260.878.000 (+2.050.000)
100,14.551 (-300),1.455.120 (-30.000),1.044.600 (+8.200),104.460.000 (+820.000)
50,29.118 (-600),1.455.900 (-30.000),1.045.400 (+8.200),52.270.000 (+410.000)
25,58.299 (-1.200),1.457.480 (-30.000),1.047.040 (+8.200),26.176.000 (+205.000)
10,146.250 (-3.000),1.462.500 (-30.000),1.052.200 (+8.200),10.522.000 (+82.000)
5,293.600 (-6.000),1.468.000 (-30.000),1.057.800 (+8.200),5.289.000 (+41.000)
3,491.556 (-10.000),1.474.667 (-30.000),1.064.667 (+8.000),3.194.000 (+24.000)
2,741.500 (-15.000),1.483.000 (-30.000),1.073.500 (+8.500),2.147.000 (+17.000)
1,1.513.000 (-30.000),1.513.000 (-30.000),1.104.000 (+8.000),1.104.000 (+8.000)
0.5,3.226.000 (-60.000),1.613.000 (-30.000),1.208.000 (+8.000),604.000 (+4.000)
,"Update harga LM Antam : 07 November 2024, pukul 08:32  Harga pembelian kembali : Rp. 1.366.000/gram (-30.000)","Update harga LM Antam : 07 November 2024, pukul 08:32  Harga pembelian kembali : Rp. 1.366.000/gram (-30.000)",Update harga LM Pegadaian : 31 Agustus 2023,Update harga LM Pegadaian : 31 Agustus 2023
